Epoch,Success Rate History
1,0.997907949790795
2,0.997907949790795
3,0.997907949790795
4,0.997907949790795
5,0.997907949790795
6,0.9976364102126206
7,0.9973648706344462
8,0.9970933310562718
9,0.9968217914780975
10,0.9965502518999232
11,0.9962787123217488
12,0.9960071727435744
13,0.9957356331654
14,0.9954640935872257
15,0.9951925540090513
16,0.9950115276236018
17,0.9948305012381522
18,0.9945589616599778
19,0.9942874220818034
20,0.994015882503629
21,0.9937443429254547
22,0.9934728033472804
23,0.993201263769106
24,0.9929297241909316
25,0.9926581846127572
26,0.9923866450345828
27,0.9921151054564085
28,0.9918435658782342
29,0.9916625394927846
30,0.9915720263000598
31,0.9913909999146102
32,0.9911194603364358
33,0.9908479207582614
34,0.9907574075655367
35,0.9904858679873623
36,0.990214328409188
37,0.9899427888310136
38,0.9898522756382888
39,0.9896712492528392
40,0.9893997096746648
41,0.9892186832892153
42,0.9889471437110409
43,0.9886756041328665
44,0.988494577747417
45,0.9882230381692426
46,0.9879514985910682
47,0.9878609853983434
48,0.9877704722056186
49,0.9874989326274443
50,0.9874084194347195
51,0.9872273930492699
52,0.9869558534710956
53,0.9868653402783708
54,0.9866843138929212
55,0.9865938007001964
56,0.9865032875074716
57,0.986322261122022
58,0.9860507215438477
59,0.9858696951583981
60,0.9856886687729485
61,0.9855076423874989
62,0.9854171291947741
63,0.9851455896165998
64,0.985055076423875
65,0.9848740500384254
66,0.9846930236529758
67,0.9844214840748015
68,0.9841499444966271
69,0.9839689181111775
70,0.9838784049184527
71,0.9836068653402784
72,0.983335325762104
73,0.9832448125693792
74,0.9829732729912048
75,0.9829732729912048
76,0.9827017334130305
77,0.9824301938348561
78,0.9821586542566818
79,0.9821586542566818
80,0.982068141063957
81,0.982068141063957
82,0.9817966014857826
83,0.9817060882930578
84,0.981615575100333
85,0.9815250619076082
86,0.9812535223294339
87,0.9812535223294339
