Epoch,Success Rate History
1,0.94
3,0.9
5,0.9166666666666666
7,0.95
9,0.9333333333333333
11,0.9466666666666667
13,0.9366666666666666
15,0.96
17,0.9531772575250836
19,0.97
21,0.9466666666666667
23,0.9966666666666667
25,1.0
