Epoch,Average Reward
1,0.3507
3,0.0537
5,0.0773
7,0.2038
9,0.3019
11,0.3974
13,0.4834
15,0.5597
17,0.6398
19,0.7176
21,0.801
23,0.8835
25,0.97
