episode,step,time,x,y,vx,vy,ax,ay,reward,total_reward,travel_time,final_distance
0,0,0.0,175.61586,-33.45148,-1.34808,-0.34242,-0.21851,-0.15598,-1000.0,-300.0,50,28.585074826397765
0,1,0.4,175.07662963867188,-33.58844757080078,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,2,0.8,174.5373992919922,-33.72541427612305,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,3,1.2000000000000002,173.9981689453125,-33.86238098144531,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,4,1.6,173.4589385986328,-33.99934768676758,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,5,2.0,172.91970825195312,-34.136314392089844,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,6,2.4000000000000004,172.38047790527344,-34.27328109741211,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,7,2.8000000000000003,171.84124755859375,-34.410247802734375,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,8,3.2,171.30201721191406,-34.54721450805664,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,9,3.6,170.76278686523438,-34.684181213378906,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,10,4.0,170.2235565185547,-34.82114791870117,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,11,4.4,169.684326171875,-34.95811462402344,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,12,4.800000000000001,169.1450958251953,-35.0950813293457,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,13,5.2,168.60586547851562,-35.23204803466797,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,14,5.6000000000000005,168.06663513183594,-35.369014739990234,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,15,6.0,167.52740478515625,-35.5059814453125,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,16,6.4,166.98817443847656,-35.642948150634766,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,17,6.800000000000001,166.44894409179688,-35.77991485595703,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,18,7.2,165.9097137451172,-35.9168815612793,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,19,7.6000000000000005,165.3704833984375,-36.05384826660156,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,20,8.0,164.8312530517578,-36.19081497192383,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,21,8.4,164.29202270507812,-36.327781677246094,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,22,8.8,163.75279235839844,-36.46474838256836,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,23,9.200000000000001,163.21356201171875,-36.601715087890625,-1.348080039024353,-0.3424200117588043,0.0,0.0,-1000.0,-300.0,50,28.585074826397765
0,24,9.600000000000001,162.67433166503906,-36.73868179321289,-1.348080039024353,-0.3424200117588043,0.0,0.0,-75.18513131064749,-300.0,50,28.585074826397765
0,25,10.0,162.13510131835938,-36.875648498535156,-1.348080039024353,-0.3424200117588043,0.0,0.0,-75.44605934829738,-300.0,50,28.585074826397765
0,26,10.4,161.5958709716797,-37.01261520385742,-1.348080039024353,-0.3424200117588043,0.0,0.0,-75.69854437581063,-300.0,50,28.585074826397765
0,27,10.8,161.056640625,-37.14958190917969,-1.348080039024353,-0.3424200117588043,0.0,0.0,-75.94249793240115,-300.0,50,28.585074826397765
0,28,11.200000000000001,160.5174102783203,-37.28654861450195,-1.348080039024353,-0.3424200117588043,0.0,0.0,-76.17788661211277,-300.0,50,28.585074826397765
0,29,11.600000000000001,159.97817993164062,-37.42351531982422,-1.348080039024353,-0.3424200117588043,0.0,0.0,-76.40472692725366,-300.0,50,28.585074826397765
0,30,12.0,159.43894958496094,-37.560482025146484,-1.348080039024353,-0.3424200117588043,0.0,0.0,-76.62307999491992,-300.0,50,28.585074826397765
0,31,12.4,158.89971923828125,-37.69744873046875,-1.348080039024353,-0.3424200117588043,0.0,0.0,-76.8330461939952,-300.0,50,28.585074826397765
0,32,12.8,158.36048889160156,-37.834415435791016,-1.348080039024353,-0.3424200117588043,0.0,0.0,-77.03475991620641,-300.0,50,28.585074826397765
0,33,13.200000000000001,157.82125854492188,-37.97138214111328,-1.348080039024353,-0.3424200117588043,0.0,0.0,-77.2283845107094,-300.0,50,28.585074826397765
0,34,13.600000000000001,157.2820281982422,-38.10834884643555,-1.348080039024353,-0.3424200117588043,0.0,0.0,-77.41410749849676,-300.0,50,28.585074826397765
0,35,14.0,156.7427978515625,-38.24531555175781,-1.348080039024353,-0.3424200117588043,0.0,0.0,-77.59213611154989,-300.0,50,28.585074826397765
