episode,total_reward,travel_time,final_distance,num_steps,goal_x,goal_y
0,-300.0,50,28.585074826397765,50,174.28611,-52.95363
1,-300.0,50,88.98911479809745,50,60.71808,-101.50853
2,-300.0,50,70.71326553628104,50,179.35797,-50.3969
3,-300.0,50,36.30531066600515,50,146.38351,-16.8317
4,-300.0,50,87.94150798556163,50,57.878,-96.38709
5,-300.0,50,318.12547720877967,50,57.79826,-96.8545
6,-300.0,50,58.98067309238351,50,61.01672,-100.81768
7,-8343.497545935224,22,8.217435996655492,22,57.5697,-95.70551
8,-300.0,50,33.662347816079105,50,146.38351,-16.8317
9,-300.0,50,184.14085196272177,50,172.10544,-38.54658
10,-300.0,50,112.96392596816335,50,57.878,-96.38709
11,-300.0,50,33.701504819114675,50,172.10544,-38.54658
12,-300.0,50,132.83695304256167,50,57.5697,-95.70551
13,-118.10197316872072,1,7.4429438096740395,1,60.71808,-101.50853
14,-300.0,50,49.77725734650836,50,85.18898,-75.81464
15,-300.0,50,132.83695304256167,50,57.5697,-95.70551
16,-106.7783768927101,1,9.935792056467381,1,60.97376,-101.5251
17,-300.0,50,59.31519990285803,50,57.5697,-95.70551
18,-300.0,50,68.56019531711085,50,61.01672,-100.81768
19,-300.0,50,132.81471106265133,50,59.09988,-98.65828
20,-300.0,50,128.20796046864803,50,60.30195,-101.29418
21,-1000.0,1,8.417727503304102,1,176.66282,-36.86264
22,-1000.0,1,2.175533044953688e-06,1,172.10544,-38.54658
23,-300.0,50,17.10793788504191,50,176.66282,-36.86264
24,-300.0,50,133.14581630246494,50,57.79826,-96.8545
25,-300.0,50,116.46677086584208,50,60.30195,-101.29418
26,-300.0,50,339.81861488345817,50,179.35797,-50.3969
27,-1000.0,1,5.025746723874909,1,85.18898,-75.81464
28,-300.0,50,278.8252801406801,50,60.97376,-101.5251
29,-300.0,50,132.79692817833478,50,59.09521,-98.61116
30,-300.0,50,108.02746536851672,50,59.09988,-98.65828
31,-1000.0,1,5.780228806407936,1,172.10544,-38.54658
32,-13.469149806222703,1,6.903270989998917,1,63.30532,-96.53351
33,-300.0,50,132.81471106265133,50,59.09988,-98.65828
34,-1000.0,1,5.457268476985921,1,172.10544,-38.54658
35,-300.0,50,130.9857337185393,50,59.7064,-98.62684
36,-300.0,50,128.10361809736943,50,63.30532,-96.53351
37,-300.0,50,35.23634049607655,50,59.09521,-98.61116
38,-300.0,50,133.14581630246494,50,57.79826,-96.8545
39,-7301.789344448469,21,9.379648226969541,21,57.46519,-96.59826
40,-300.0,50,83.26417473560531,50,60.71808,-101.50853
41,-300.0,50,17.10793788504191,50,176.66282,-36.86264
42,-300.0,50,206.65317598313217,50,146.38351,-16.8317
43,-300.0,50,124.56952055895246,50,179.35797,-50.3969
44,-300.0,50,115.84619811709459,50,60.30195,-101.29418
45,-300.0,50,128.20796046864803,50,60.30195,-101.29418
46,-300.0,50,116.09770913634557,50,57.5697,-95.70551
47,-1000.0,1,4.858537513550035,1,176.66282,-36.86264
48,-300.0,50,13.89349743881503,50,179.35797,-50.3969
49,-300.0,50,53.38366549142317,50,85.18898,-75.81464
50,-300.0,50,34.99291247641854,50,173.58321,-53.3448
51,-2944.246761182447,20,7.141245635994621,20,176.66282,-36.86264
52,-300.0,39,9.472009701796463,39,172.10544,-38.54658
53,-300.0,50,136.21139970371374,50,57.46519,-96.59826
54,-300.0,50,36.30531066600515,50,146.38351,-16.8317
55,-300.0,50,63.41041996342312,50,61.01672,-100.81768
56,-300.0,50,99.35336157461792,50,57.56459,-95.52724
57,-300.0,50,116.22104398039069,50,60.71808,-101.50853
58,-300.0,50,74.74249960554725,50,63.30532,-96.53351
59,-300.0,50,217.0320977498347,50,176.66282,-36.86264
60,-300.0,50,258.61993248775514,50,146.38351,-16.8317
61,-300.0,50,68.08426625985517,50,173.58321,-53.3448
62,-300.0,50,116.09770913634557,50,57.5697,-95.70551
63,-300.0,50,111.47001295020638,50,63.30532,-96.53351
64,-300.0,50,143.99912074830274,50,59.09521,-98.61116
65,-300.0,50,30.649236037998993,50,146.38351,-16.8317
66,-300.0,50,82.50993793983389,50,85.18898,-75.81464
67,-2000.0,2,9.746073013246374,2,174.28611,-52.95363
68,-300.0,50,80.73193000833601,50,57.79826,-96.8545
69,-1000.0,1,6.48076147943343,1,172.10544,-38.54658
70,-300.0,50,89.27338018404366,50,179.35797,-50.3969
71,-300.0,50,33.662347816079105,50,146.38351,-16.8317
72,-300.0,50,196.94602754622952,50,146.38351,-16.8317
73,-300.0,50,114.02446747031605,50,60.30195,-101.29418
74,-300.0,50,132.81471106265133,50,59.09988,-98.65828
75,-300.0,50,104.91403175354719,50,60.71808,-101.50853
76,-300.0,50,123.28807578644016,50,63.30532,-96.53351
77,-300.0,50,124.06906022250418,50,57.46519,-96.59826
78,-300.0,50,132.15244625092708,50,61.01672,-100.81768
79,-300.0,50,116.15686944148018,50,59.09521,-98.61116
80,-94.48945970466642,1,6.850679499342814,1,61.01672,-100.81768
81,-300.0,50,127.44873983229564,50,59.7064,-98.62684
82,-300.0,50,106.9411986039543,50,60.97376,-101.5251
83,-300.0,50,86.45740769675736,50,59.09988,-98.65828
84,-300.0,50,33.662347816079105,50,146.38351,-16.8317
85,-300.0,50,317.76692710707243,50,146.38351,-16.8317
86,-300.0,50,128.10361809736943,50,63.30532,-96.53351
87,-300.0,50,124.36752226377048,50,60.30195,-101.29418
88,-300.0,50,88.07213351853174,50,59.09988,-98.65828
89,-300.0,50,46.83429215076561,50,60.30195,-101.29418
